season,Week,Day,Date,Time,Home.Team,Away.Team,Home.Abbr,Away.Abbr,latitude,longitude,indoor,turf,elevation,temperature,precipitation,windspeed,windgusts,team col,#,Kicker,Yds,Outcome,Make X,Make Y,Hash Orient,Leg,OffenseTeam,DefenseTeam,Quarter,Minute,Second,yardline_100,YardLineFixed,Blocked,Age,XP%,cap_hit
2022,1,Thu,9/8/22,20:20:00,Los Angeles Rams,Buffalo Bills,LA,BUF,33.953587,-118.33963,Yes,Turf,40,70,0,0,2.5,BUFLA,8,M. GAY,57,Good,2.8,9.1,-9.25,r,LA,BUF,2,0,4,61,39,,28,96.9,2540000
2022,2,Sun,9/18/22,16:05:00,Los Angeles Rams,Atlanta Falcons,LA,ATL,33.953587,-118.33963,Yes,Turf,40,70,0,0,2.5,ATLLA,8,M. GAY,20,Good,-0.8,25.1,0,r,LA,ATL,4,12,16,99,1,,28,96.9,2540000
2022,3,Sun,9/25/22,16:25:00,Arizona Cardinals,Los Angeles Rams,ARI,LA,33.5277,-112.262608,Retractable,Grass,328,70,0,0,2.5,ARILA,8,M. GAY,22,Good,1.1,25.2,9.25,r,LA,ARI,1,9,49,96,4,,28,96.9,2540000
2022,3,Sun,9/25/22,16:25:00,Arizona Cardinals,Los Angeles Rams,ARI,LA,33.5277,-112.262608,Retractable,Grass,328,70,0,0,2.5,ARILA,8,M. GAY,40,Good,9.2,32.3,-9.25,r,LA,ARI,2,13,28,78,22,,28,96.9,2540000
2022,4,Mon,10/3/22,20:15:00,San Francisco 49ers,Los Angeles Rams,SF,LA,37.713486,-122.386256,No,Grass,16,58.9,0,22.1,40,LASF,8,M. GAY,29,Good,-0.1,22.1,-9.25,r,LA,SF,2,6,26,89,11,,28,96.9,2540000
2022,4,Mon,10/3/22,20:15:00,San Francisco 49ers,Los Angeles Rams,SF,LA,37.713486,-122.386256,No,Grass,16,58.9,0,22.1,40,LASF,8,M. GAY,26,Good,-4.2,28.9,9.25,r,LA,SF,3,4,28,93,7,,28,96.9,2540000
2022,4,Mon,10/3/22,20:15:00,San Francisco 49ers,Los Angeles Rams,SF,LA,37.713486,-122.386256,No,Grass,16,58.9,0,22.1,40,LASF,8,M. GAY,39,Good,-3,29,-9.25,r,LA,SF,1,6,53,79,21,,28,96.9,2540000
2022,5,Sun,10/9/22,16:25:00,Los Angeles Rams,Dallas Cowboys,LA,DAL,33.953587,-118.33963,Yes,Turf,40,70,0,0,2.5,DALLA,8,M. GAY,51,No Good,10.8,26.8,9.25,r,LA,DAL,4,13,38,67,33,,28,96.9,2540000
2022,5,Sun,10/9/22,16:25:00,Los Angeles Rams,Dallas Cowboys,LA,DAL,33.953587,-118.33963,Yes,Turf,40,70,0,0,2.5,DALLA,8,M. GAY,29,Good,7.2,32,9.25,r,LA,DAL,1,5,25,90,10,,28,96.9,2540000
2022,6,Sun,10/16/22,16:05:00,Los Angeles Rams,Carolina Panthers,LA,CAR,33.953587,-118.33963,Yes,Turf,40,70,0,0,2.5,CARLA,8,M. GAY,21,Good,-4.1,19.3,9.25,r,LA,CAR,3,4,40,97,3,,28,96.9,2540000
2022,9,Sun,11/6/22,16:25:00,Tampa Bay Buccaneers,Los Angeles Rams,TB,LA,27.975967,-82.50335,No,Grass,11,73.4,0.5,23.2,39.6,LATB,8,M. GAY,26,Good,0.4,29.2,9.25,r,LA,TB,3,9,17,92,8,,28,96.9,2540000
2022,9,Sun,11/6/22,16:25:00,Tampa Bay Buccaneers,Los Angeles Rams,TB,LA,27.975967,-82.50335,No,Grass,11,73.4,0.5,23.2,39.6,LATB,8,M. GAY,35,Good,-5.3,33,-9.25,r,LA,TB,3,0,13,84,16,,28,96.9,2540000
2022,10,Sun,11/13/22,16:25:00,Los Angeles Rams,Arizona Cardinals,LA,ARI,33.953587,-118.33963,Yes,Turf,40,70,0,0,2.5,ARILA,8,M. GAY,36,Good,0.4,36,9.25,r,LA,ARI,1,6,20,82,18,,28,96.9,2540000
2022,11,Sun,11/20/22,13:00:00,New Orleans Saints,Los Angeles Rams,NO,LA,29.950931,-90.081364,Yes,Turf,23,70,0,0,2.5,LANO,8,M. GAY,58,Good,2.3,8.5,-9.25,r,LA,NO,4,0,11,60,40,,28,96.9,2540000
