"","Kicker","kicker_player_id","LocationGrade","ConsistencyGrade","CommandGrade","kicks","STUDPlusGrade","avgSTUD","FG_rate","totalSTUDpoint","KickerGrade"
"1","A. Carlson","00-0038402",4.3,64.7,34.5,36,10.2,0.874075940458302,81,-7.4,10.6
"2","B. Aubrey","00-0037692",91.9,96.9,94.4,38,94.6,0.844311253729426,97,14.75,96.5
"3","B. Grupe","00-0038905",6.4,53.9,30.15,37,23,0.840849499261262,81,-3.33,11.8
"4","B. Maher","00-0030332",17.9,47.9,32.9,59,66.5,0.816904744057783,86,8.41,48.1
"5","B. McManus","00-0029822",40.5,29,34.75,70,59.9,0.793569832871371,83,7.35,41.9
"6","C. Boswell","00-0031136",76.4,28.8,52.6,59,64.2,0.804722592999027,85,7.56,59
"7","C. Dicker","00-0037224",83.7,87,85.35,58,79.9,0.868968916932126,95,13.8,90.1
"8","C. McLaughlin","00-0035358",40.6,59.4,50,69,86.4,0.820818248318247,91,19.09,77.5
"9","C. Ryland","00-0038567",0.3,7.5,3.9,25,0.1,0.822205433409502,64,-13.67,1.2
"10","C. Santos","00-0031203",98.3,92.1,95.2,60,84.5,0.844073377391904,93,16.07,94.7
"11","C. York","00-0038097",18.3,67.1,42.7,29,37.5,0.82913217541814,83,-0.13,27.7
"12","D. Carlson","00-0034161",88,59.4,73.7,65,77.5,0.851015606186748,92,14.05,83.6
"13","D. Hopkins","00-0030098",76.8,65.7,71.25,46,77.3,0.84216746680375,91,9.78,82.1
"14","E. McPherson","00-0036854",52.2,53.7,52.95,65,55.3,0.817829010369931,85,5.52,51
"15","E. Pineiro","00-0034173",78.2,28.2,53.2,64,70.8,0.848583110521556,91,11.07,65.6
"16","G. Gano","00-0026858",48,26.5,37.25,48,73,0.795971430043508,85,8.38,57.7
"17","G. Joseph","00-0034450",61.4,18.3,39.85,61,34,0.844031210464746,84,-1.46,23.2
"18","G. Zuerlein","00-0029621",20,56.8,38.4,74,78.2,0.8084232312166,88,15.53,63.9
"19","H. Butker","00-0033303",52.6,80.4,66.5,76,64.7,0.84868471529402,89,10.5,70.3
"20","J. Elliott","00-0033787",88.2,84,86.1,59,83.6,0.845408780097327,93,15.36,91.7
"21","J. Moody","00-0038562",11,53.8,32.4,32,36.2,0.847708041510635,84,-0.38,19.7
"22","J. Myers","00-0031492",74.1,25.7,49.9,80,50,0.854722708946191,88,4.87,43.6
"23","J. Sanders","00-0034794",50.8,12.9,31.85,60,70.1,0.828496678113708,88,9.87,51.6
"24","J. Slye","00-0035192",9.9,68.6,39.25,53,36.6,0.833310224286339,83,-0.5,24.4
"25","J. Tucker","00-0029597",85.1,91.1,88.1,80,77.3,0.841683987161808,91,17,90.3
"26","K. Fairbairn","00-0032726",42.9,71,56.95,62,78.7,0.859751643827888,94,14.09,74.9
"27","L. Havrisik","00-0038152",5,2.90000000000001,3.95,20,1.4,0.885318372600257,75,-8.12,1.2
"28","M. Ammendola","00-0036469",21.1,0.200000000000003,10.65,16,0.1,0.885905711501403,69,-9.52,2.1
"29","M. Badgley","00-0034084",61,44.9,52.95,35,47.1,0.870097722128297,89,1.64,43.9
"30","M. Crosby","00-0025580",73.9,79.7,76.8,35,35.5,0.862457860317967,86,-0.56,60.9
"31","M. Gay","00-0035269",72.6,66.6,69.6,70,72.5,0.812938454230498,87,12.28,78.1
"32","M. Prater","00-0023853",29.7,63.8,46.75,58,77.7,0.794299890624888,86,11.79,68
"33","M. Wright","00-0035189",15.3,0.299999999999997,7.8,19,17.9,0.831261309807677,79,-2.38,3.9
"34","N. Folk","00-0025565",87.7,57.3,72.5,67,68.3,0.857238832336619,91,10.69,77.3
"35","R. Bullock","00-0029421",56.5,47.4,51.95,26,36.7,0.849125017683108,85,-0.23,35.2
"36","R. Gould","00-0023252",71.4,93,82.2,38,55.7,0.889675784378873,92,3.58,77
"37","R. Patterson","00-0036816",76.5,67.5,72,56,31.9,0.887590689697772,88,-2.12,53.7
"38","R. Succop","00-0026968",50.6,45,47.8,36,35.7,0.866104133560638,86,-0.54,30.7
"39","T. Bass","00-0036162",43.8,43.9,43.85,64,52.5,0.850497892071332,88,4.7,40.9
"40","W. Lutz","00-0032569",55.3,43.2,49.25,62,30.7,0.869578110343852,85,-2.74,28.9
"41","Y. Koo","00-0033702",70.5,52.8,61.65,73,55.7,0.846819689728601,88,6.55,59.1
