,play_id,game_id,Number,Kicker,Yards,Outcome,hash,make_x,make_y,posteam,defteam,game_date,qtr,quarter_seconds_remaining,yardline_100,desc,x_centered
1,1153,2022_01_BUF_LA,2,T. Bass,41,Good,-9.25,8,24.5,BUF,LA,9/8/22,2,531,23,"(8:51) 2-T.Bass 41 yard field goal is GOOD, Center-69-R.Ferguson, Holder-8-S.Martin.",8.02488189
2,1888,2022_01_BUF_LA,8,M. Gay,57,Good,-9.25,2.8,9.1,LA,BUF,9/8/22,2,4,39,"(:04) 8-M.Gay 57 yard field goal is GOOD, Center-42-M.Orzech, Holder-11-R.Dixon.",2.82488189
3,790,2022_01_BAL_NYJ,9,J. Tucker,24,Good,9.25,-6,31,BAL,NYJ,9/11/22,1,199,6,"(3:19) 9-J.Tucker 24 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",-5.97511811
4,1216,2022_01_BAL_NYJ,6,G. Zuerlein,45,No Good,9.25,-11.3,28,NYJ,BAL,9/11/22,2,655,27,"(10:55) 6-G.Zuerlein 45 yard field goal is No Good, Wide Left, Center-42-T.Hennessy, Holder-7-B.Mann.",-11.27511811
5,1919,2022_01_BAL_NYJ,6,G. Zuerlein,45,Good,9.25,-6.9,27.3,NYJ,BAL,9/11/22,2,28,27,"(:28) 6-G.Zuerlein 45 yard field goal is GOOD, Center-42-T.Hennessy, Holder-7-B.Mann.",-6.87511811
6,2128,2022_01_CLE_CAR,3,C. York,26,Good,9.25,-3.5,27.3,CLE,CAR,9/11/22,2,24,8,"(:24) 3-C.York 26 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",-3.47511811
7,2588,2022_01_CLE_CAR,3,C. York,34,Good,-9.25,3.2,29.4,CLE,CAR,9/11/22,3,466,16,"(7:46) 3-C.York 34 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",3.22488189
8,3420,2022_01_CLE_CAR,3,C. York,36,Good,0,-2.3,28.7,CLE,CAR,9/11/22,4,377,18,"(6:17) 3-C.York 36 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",-2.27511811
9,4006,2022_01_CLE_CAR,4,E. Pineiro,34,Good,9.25,-5.6,26.6,CAR,CLE,9/11/22,4,77,16,"(1:17) 4-E.Pineiro 34 yard field goal is GOOD, Center-44-J.Jansen, Holder-10-J.Hekker.",-5.57511811
10,4196,2022_01_CLE_CAR,3,C. York,58,Good,9.25,2,8,CLE,CAR,9/11/22,4,13,40,"(:13) 3-C.York 58 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",2.02488189
11,1326,2022_01_GB_MIN,1,G. Joseph,28,Good,9.25,3.8,37.2,MIN,GB,9/11/22,2,237,10,"(3:57) 1-G.Joseph 28 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright.",3.82488189
12,2191,2022_01_GB_MIN,1,G. Joseph,56,Good,9.25,4.3,20.1,MIN,GB,9/11/22,3,591,38,"(9:51) 1-G.Joseph 56 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright.",4.32488189
13,3094,2022_01_GB_MIN,1,G. Joseph,29,Good,-9.25,4.2,26.7,MIN,GB,9/11/22,4,412,10,"(6:52) 1-G.Joseph 29 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright.",4.22488189
14,469,2022_01_IND_HOU,3,R. Blankenship,45,Good,1,2.5,7.9,IND,HOU,9/11/22,1,318,27,"(5:18) 3-R.Blankenship 45 yard field goal is GOOD, Center-46-L.Rhodes, Holder-6-M.Haack.",2.52488189
15,1136,2022_01_IND_HOU,7,K. Fairbairn,45,Good,-9.25,-4.3,4.8,HOU,IND,9/11/22,2,474,27,"(7:54) 7-K.Fairbairn 45 yard field goal is GOOD, Center-46-J.Weeks, Holder-11-C.Johnston.",-4.27511811
16,2066,2022_01_IND_HOU,7,K. Fairbairn,43,Good,9.25,-8.9,24.5,HOU,IND,9/11/22,3,740,25,"(12:20) 7-K.Fairbairn 43 yard field goal is GOOD, Center-46-J.Weeks, Holder-11-C.Johnston.",-8.87511811
17,3259,2022_01_IND_HOU,3,R. Blankenship,27,Good,-9.25,2.1,25.3,IND,HOU,9/11/22,4,647,9,"(10:47) 3-R.Blankenship 27 yard field goal is GOOD, Center-46-L.Rhodes, Holder-6-M.Haack.",2.12488189
18,4635,2022_01_IND_HOU,3,R. Blankenship,42,No Good,9.25,15.4,18.6,IND,HOU,9/11/22,5,120,24,"(2:00) 3-R.Blankenship 42 yard field goal is No Good, Wide Right, Center-46-L.Rhodes, Holder-6-M.Haack.",15.42488189
19,273,2022_01_JAX_WAS,10,R. Patterson,33,Good,2.7,-1.3,26.1,JAX,WAS,9/11/22,1,721,15,"(12:01) 10-R.Patterson 33 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",-1.27511811
20,2164,2022_01_JAX_WAS,10,R. Patterson,37,No Good,9.25,9.25,26.5,JAX,WAS,9/11/22,2,20,19,"(:20) 10-R.Patterson 37 yard field goal is No Good, Hit Right Upright, Center-46-R.Matiscik, Holder-9-L.Cooke.",9.27488189
21,3013,2022_01_JAX_WAS,10,R. Patterson,43,Good,9.25,-3.9,26.7,JAX,WAS,9/11/22,3,80,25,"(1:20) 10-R.Patterson 43 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",-3.87511811
22,3403,2022_01_JAX_WAS,10,R. Patterson,45,Good,0,3.3,27.5,JAX,WAS,9/11/22,4,728,26,"(12:08) 10-R.Patterson 45 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",3.32488189
23,2170,2022_01_KC_ARI,7,H. Butker,54,Good,-9.25,5.5,18.4,KC,ARI,9/11/22,2,7,36,"(:07) 7-H.Butker 54 yard field goal is GOOD, Center-41-J.Winchester, Holder-5-T.Townsend.",5.52488189
24,302,2022_01_LV_LAC,6,D. Hopkins,43,Good,9.25,-4.3,35.5,LAC,LV,9/11/22,1,547,25,"(9:07) 6-D.Hopkins 43 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott.",-4.27511811
25,631,2022_01_LV_LAC,2,D. Carlson,23,Good,-9.25,-1.1,22.1,LV,LAC,9/11/22,1,153,5,"(2:33) 2-D.Carlson 23 yard field goal is GOOD, Center-47-T.Sieg, Holder-6-A.Cole.",-1.07511811
26,2488,2022_01_LV_LAC,2,D. Carlson,55,Good,9.25,-8.1,17.6,LV,LAC,9/11/22,3,68,37,"(1:08) 2-D.Carlson 55 yard field goal is GOOD, Center-47-T.Sieg, Holder-6-A.Cole.",-8.07511811
27,3031,2022_01_LV_LAC,6,D. Hopkins,49,No Good,9.25,-13.3,32.1,LAC,LV,9/11/22,4,457,31,"(7:37) 6-D.Hopkins 49 yard field goal is No Good, Wide Left, Center-47-J.Harris, Holder-16-J.Scott.",-13.27511811
28,552,2022_01_NE_MIA,7,J. Sanders,43,Good,-9.25,-3,30.5,MIA,NE,9/11/22,1,250,25,"(4:10) 7-J.Sanders 43 yard field goal is GOOD, Center-44-B.Ferguson, Holder-4-T.Morstead.",-2.97511811
29,2505,2022_01_NE_MIA,7,J. Sanders,49,Good,-9.25,-8.5,25,MIA,NE,9/11/22,3,24,31,"(:24) 7-J.Sanders 49 yard field goal is GOOD, Center-44-B.Ferguson, Holder-4-T.Morstead.",-8.47511811
30,255,2022_01_NO_ATL,7,Y. Koo,54,Good,9.25,-0.5,18.6,ATL,NO,9/11/22,1,644,35,"(10:44) 7-Y.Koo 54 yard field goal is GOOD, Center-48-L.McCullough, Holder-13-B.Pinion.",-0.47511811
31,850,2022_01_NO_ATL,3,W. Lutz,44,No Good,-3,-9.5,27.1,NO,ATL,9/11/22,1,166,26,"(2:46) 3-W.Lutz 44 yard field goal is No Good, Hit Left Upright, Center-49-Z.Wood, Holder-4-B.Gillikin.",-9.47511811
32,1735,2022_01_NO_ATL,7,Y. Koo,50,Good,9.25,-1,30.2,ATL,NO,9/11/22,2,70,32,"(1:10) 7-Y.Koo 50 yard field goal is GOOD, Center-48-L.McCullough, Holder-13-B.Pinion.",-0.97511811
33,1997,2022_01_NO_ATL,7,Y. Koo,40,Good,-9.25,-0.1,26.7,ATL,NO,9/11/22,2,3,22,"(:03) 7-Y.Koo 40 yard field goal is GOOD, Center-48-L.McCullough, Holder-13-B.Pinion.",-0.07511811
34,2269,2022_01_NO_ATL,3,W. Lutz,49,Good,9.25,-0.3,6,NO,ATL,9/11/22,3,560,31,"(9:20) 3-W.Lutz 49 yard field goal is GOOD, Center-49-Z.Wood, Holder-4-B.Gillikin.",-0.27511811
35,3083,2022_01_NO_ATL,7,Y. Koo,27,Good,9.25,0.3,29.8,ATL,NO,9/11/22,4,765,9,"(12:45) 7-Y.Koo 27 yard field goal is GOOD, Center-48-L.McCullough, Holder-13-B.Pinion.",0.32488189
36,4153,2022_01_NO_ATL,3,W. Lutz,51,Good,-9.25,-2.8,7.9,NO,ATL,9/11/22,4,23,33,"(:23) 3-W.Lutz 51 yard field goal is GOOD, Center-49-Z.Wood, Holder-4-B.Gillikin.",-2.77511811
37,904,2022_01_NYG_TEN,14,R. Bullock,46,Good,-9.25,4.2,23,TEN,NYG,9/11/22,2,759,28,"(12:39) 14-R.Bullock 46 yard field goal is GOOD, Center-46-M.Cox, Holder-4-R.Stonehouse.",4.22488189
38,1268,2022_01_NYG_TEN,14,R. Bullock,23,Good,-9.25,-4.8,14.6,TEN,NYG,9/11/22,2,420,5,"(7:00) 14-R.Bullock 23 yard field goal is GOOD, Center-46-M.Cox, Holder-4-R.Stonehouse.",-4.77511811
39,3986,2022_01_NYG_TEN,14,R. Bullock,47,No Good,9.25,-9.6,25.9,TEN,NYG,9/11/22,4,4,29,"(:04) 14-R.Bullock 47 yard field goal is No Good, Wide Left, Center-46-M.Cox, Holder-4-R.Stonehouse.",-9.57511811
40,2351,2022_01_PHI_DET,4,J. Elliott,23,Good,-9.25,0.9,31.2,PHI,DET,9/11/22,2,9,5,"(:09) 4-J.Elliott 23 yard field goal is GOOD, Center-45-R.Lovato, Holder-8-A.Siposs.",0.92488189
41,465,2022_01_PIT_CIN,2,E. McPherson,59,Good,-9.25,0.8,11.9,CIN,PIT,9/11/22,1,441,41,"(7:21) 2-E.McPherson 59 yard field goal is GOOD, Center-46-C.Harris, Holder-10-K.Huber.",0.82488189
42,818,2022_01_PIT_CIN,9,C. Boswell,20,Good,9.25,2.8,25.7,PIT,CIN,9/11/22,1,148,2,"(2:28) 9-C.Boswell 20 yard field goal is GOOD, Center-46-C.Kuntz, Holder-6-P.Harvin.",2.82488189
43,1837,2022_01_PIT_CIN,2,E. McPherson,26,Good,9.25,-1.7,22.6,CIN,PIT,9/11/22,2,18,8,"(:18) 2-E.McPherson 26 yard field goal is GOOD, Center-46-C.Harris, Holder-10-K.Huber.",-1.67511811
44,2873,2022_01_PIT_CIN,9,C. Boswell,48,Good,9.25,2.6,13.9,PIT,CIN,9/11/22,4,678,30,"(11:18) 9-C.Boswell 48 yard field goal is GOOD, Center-46-C.Kuntz, Holder-6-P.Harvin.",2.62488189
45,4529,2022_01_PIT_CIN,2,E. McPherson,29,No Good,9.25,-12.4,19.8,CIN,PIT,9/11/22,5,217,11,"(3:37) 2-E.McPherson 29 yard field goal is No Good, Wide Left, Center-84-M.Wilcox, Holder-10-K.Huber.",-12.37511811
46,4769,2022_01_PIT_CIN,9,C. Boswell,55,No Good,-9.25,-9.25,21,PIT,CIN,9/11/22,5,147,37,"(2:27) 9-C.Boswell 55 yard field goal is No Good, Hit Left Upright, Center-46-C.Kuntz, Holder-6-P.Harvin.",-9.22511811
47,5164,2022_01_PIT_CIN,9,C. Boswell,53,Good,0,-6.9,14.1,PIT,CIN,9/11/22,5,5,35,"(:05) 9-C.Boswell 53 yard field goal is GOOD, Center-46-C.Kuntz, Holder-6-P.Harvin.",-6.87511811
48,2455,2022_01_SF_CHI,9,R. Gould,25,Good,-8,2.8,25.1,SF,CHI,9/11/22,3,506,7,"(8:26) 9-R.Gould 25 yard field goal is GOOD, Center-46-T.Pepper, Holder-18-M.Wishnowsky.",2.82488189
49,356,2022_01_TB_DAL,19,B. Maher,51,Good,9.25,-1.2,17.2,DAL,TB,9/11/22,1,546,32,"(9:06) 19-B.Maher 51 yard field goal is GOOD, Center-44-J.McQuaide, Holder-5-B.Anger.",-1.17511811
50,552,2022_01_TB_DAL,3,R. Succop,44,Good,9.25,-0.7,25.2,TB,DAL,9/11/22,1,309,26,"(5:09) 3-R.Succop 44 yard field goal is GOOD, Center-97-Z.Triner, Holder-5-J.Camarda.",-0.67511811
51,850,2022_01_TB_DAL,3,R. Succop,38,Good,-9.25,-5.4,24,TB,DAL,9/11/22,1,70,20,"(1:10) 3-R.Succop 38 yard field goal is GOOD, Center-97-Z.Triner, Holder-5-J.Camarda.",-5.37511811
52,1263,2022_01_TB_DAL,3,R. Succop,36,No Good,0,-12.9,24.6,TB,DAL,9/11/22,2,454,18,"(7:34) 3-R.Succop 36 yard field goal is No Good, Wide Left, Center-97-Z.Triner, Holder-5-J.Camarda.",-12.87511811
53,1476,2022_01_TB_DAL,3,R. Succop,29,Good,9.25,2.3,13.2,TB,DAL,9/11/22,2,208,11,"(3:28) 3-R.Succop 29 yard field goal is GOOD, Center-97-Z.Triner, Holder-5-J.Camarda.",2.32488189
54,1879,2022_01_TB_DAL,3,R. Succop,47,Good,2.5,-1.1,24.5,TB,DAL,9/11/22,2,19,29,"(:19) 3-R.Succop 47 yard field goal is GOOD, Center-97-Z.Triner, Holder-5-J.Camarda.",-1.07511811
