,game_id,play_id,Kicker,stud,location,make_x,make_y,binary_result,qtr,desc,indoor,elevation,temperature,precipitation,windspeed,windgusts,kick_distance,turf,kicker_player_id
1,2022_01_BAL_NYJ,790,J. Tucker,0.984483672,31.68254777,-6,31,1,1,"(3:19) 9-J.Tucker 24 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",FALSE,2,69.1,2.9,10.7,19.4,24,Turf,00-0029597
2,2022_01_BAL_NYJ,1216,G. Zuerlein,0.793614984,5.890469871,-11.3,28,0,2,"(10:55) 6-G.Zuerlein 45 yard field goal is No Good, Wide Left, Center-42-T.Hennessy, Holder-7-B.Mann.",FALSE,2,69.1,2.9,10.7,19.4,45,Turf,00-0029621
3,2022_01_BAL_NYJ,1919,G. Zuerlein,0.793614984,24.9412134,-6.9,27.3,1,2,"(:28) 6-G.Zuerlein 45 yard field goal is GOOD, Center-42-T.Hennessy, Holder-7-B.Mann.",FALSE,2,69.1,2.9,10.7,19.4,45,Turf,00-0029621
4,2022_01_BUF_LA,1153,T. Bass,0.894585859,17.88201517,8,24.5,1,2,"(8:51) 2-T.Bass 41 yard field goal is GOOD, Center-69-R.Ferguson, Holder-8-S.Martin.",TRUE,40,70,0,0,2.5,41,Turf,00-0036162
5,2022_01_BUF_LA,1888,M. Gay,0.431982589,63.60360352,2.8,9.1,1,2,"(:04) 8-M.Gay 57 yard field goal is GOOD, Center-42-M.Orzech, Holder-11-R.Dixon.",TRUE,40,70,0,0,2.5,57,Turf,00-0035269
6,2022_01_CLE_CAR,2128,C. York,0.983495721,56.04444817,-3.5,27.3,1,2,"(:24) 3-C.York 26 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",FALSE,220,82.8,0,11.3,22.3,26,Turf,00-0038097
7,2022_01_CLE_CAR,2588,C. York,0.951794128,58.90179315,3.2,29.4,1,3,"(7:46) 3-C.York 34 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",FALSE,220,82.8,0,11.3,22.3,34,Turf,00-0038097
8,2022_01_CLE_CAR,3420,C. York,0.937421515,70.30940313,-2.3,28.7,1,4,"(6:17) 3-C.York 36 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",FALSE,220,82.8,0,11.3,22.3,36,Turf,00-0038097
9,2022_01_CLE_CAR,4006,E. Pineiro,0.951794128,35.03083599,-5.6,26.6,1,4,"(1:17) 4-E.Pineiro 34 yard field goal is GOOD, Center-44-J.Jansen, Holder-10-J.Hekker.",FALSE,220,82.8,0,11.3,22.3,34,Turf,00-0034173
10,2022_01_CLE_CAR,4196,C. York,0.417995113,73.44398713,2,8,1,4,"(:13) 3-C.York 58 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",FALSE,220,82.8,0,11.3,22.3,58,Turf,00-0038097
11,2022_01_DEN_SEA,491,B. McManus,0.968549884,81.13317275,1.4,26.3,1,1,"(6:59) 8-B.McManus 30 yard field goal is GOOD, Center-46-J.Bobenmoyer, Holder-17-C.Waitman.",FALSE,11,61.7,0,11.4,20.2,30,Turf,00-0029822
12,2022_01_DEN_SEA,1265,J. Myers,0.724514096,23.5905124,-7.1,22,1,2,"(7:25) 5-J.Myers 49 yard field goal is GOOD, Center-46-C.Tinker, Holder-4-M.Dickson.",FALSE,11,61.7,0,11.4,20.2,49,Turf,00-0031492
13,2022_01_DEN_SEA,1909,B. McManus,0.894015743,97.65955949,-0.2,29.3,1,2,"(:04) 8-B.McManus 40 yard field goal is GOOD, Center-46-J.Bobenmoyer, Holder-17-C.Waitman.",FALSE,11,61.7,0,11.4,20.2,40,Turf,00-0029822
14,2022_01_DEN_SEA,3426,B. McManus,0.981023278,71.5563562,-2.2,25.2,1,4,"(6:16) 8-B.McManus 26 yard field goal is GOOD, Center-46-J.Bobenmoyer, Holder-17-C.Waitman.",FALSE,11,61.7,0,11.4,20.2,26,Turf,00-0029822
15,2022_01_DEN_SEA,3884,B. McManus,0.273789169,12.22325053,-9.25,12.4,0,4,"(:20) 8-B.McManus 64 yard field goal is No Good, Wide Left, Center-46-J.Bobenmoyer, Holder-17-C.Waitman.",FALSE,11,61.7,0,11.4,20.2,64,Turf,00-0029822
16,2022_01_GB_MIN,1326,G. Joseph,0.983715484,52.16676824,3.8,37.2,1,2,"(3:57) 1-G.Joseph 28 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright.",TRUE,253,70,0,0,2.5,28,Turf,00-0034450
17,2022_01_GB_MIN,2191,G. Joseph,0.469965691,46.87336015,4.3,20.1,1,3,"(9:51) 1-G.Joseph 56 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright.",TRUE,253,70,0,0,2.5,56,Turf,00-0034450
18,2022_01_GB_MIN,3094,G. Joseph,0.981115664,47.90767632,4.2,26.7,1,4,"(6:52) 1-G.Joseph 29 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright.",TRUE,253,70,0,0,2.5,29,Turf,00-0034450
19,2022_01_IND_HOU,469,R. Blankenship,0.822754984,67.23027388,2.5,7.9,1,1,"(5:18) 3-R.Blankenship 45 yard field goal is GOOD, Center-46-L.Rhodes, Holder-6-M.Haack.",TRUE,18,70,0,0,2.5,45,Turf,00-0035849
20,2022_01_IND_HOU,1136,K. Fairbairn,0.822754984,47.38652381,-4.3,4.8,1,2,"(7:54) 7-K.Fairbairn 45 yard field goal is GOOD, Center-46-J.Weeks, Holder-11-C.Johnston.",TRUE,18,70,0,0,2.5,45,Turf,00-0032726
21,2022_01_IND_HOU,2066,K. Fairbairn,0.862552532,13.70582659,-8.9,24.5,1,3,"(12:20) 7-K.Fairbairn 43 yard field goal is GOOD, Center-46-J.Weeks, Holder-11-C.Johnston.",TRUE,18,70,0,0,2.5,43,Turf,00-0032726
22,2022_01_IND_HOU,3259,R. Blankenship,0.985920906,72.1856787,2.1,25.3,1,4,"(10:47) 3-R.Blankenship 27 yard field goal is GOOD, Center-46-L.Rhodes, Holder-6-M.Haack.",TRUE,18,70,0,0,2.5,27,Turf,00-0035849
23,2022_01_IND_HOU,4635,R. Blankenship,0.87946978,0.976312778,15.4,18.6,0,5,"(2:00) 3-R.Blankenship 42 yard field goal is No Good, Wide Right, Center-46-L.Rhodes, Holder-6-M.Haack.",TRUE,18,70,0,0,2.5,42,Turf,00-0035849
24,2022_01_JAX_WAS,273,R. Patterson,0.954655741,83.08444449,-1.3,26.1,1,1,"(12:01) 10-R.Patterson 33 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",FALSE,68,76.4,2.2,10.7,22,33,Grass,00-0036816
25,2022_01_JAX_WAS,2164,R. Patterson,0.924168035,12.02303823,9.25,26.5,0,2,"(:20) 10-R.Patterson 37 yard field goal is No Good, Hit Right Upright, Center-46-R.Matiscik, Holder-9-L.Cooke.",FALSE,68,76.4,2.2,10.7,22,37,Grass,00-0036816
26,2022_01_JAX_WAS,3013,R. Patterson,0.842948776,51.62137392,-3.9,26.7,1,3,"(1:20) 10-R.Patterson 43 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",FALSE,68,76.4,2.2,10.7,22,43,Grass,00-0036816
27,2022_01_JAX_WAS,3403,R. Patterson,0.803290368,57.75188377,3.3,27.5,1,4,"(12:08) 10-R.Patterson 45 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",FALSE,68,76.4,2.2,10.7,22,45,Grass,00-0036816
28,2022_01_KC_ARI,2170,H. Butker,0.551457661,35.46667136,5.5,18.4,1,2,"(:07) 7-H.Butker 54 yard field goal is GOOD, Center-41-J.Winchester, Holder-5-T.Townsend.",TRUE,328,70,0,0,2.5,54,Grass,00-0033303
